Date,Open,High,Low,Close,Volume
22/11/2021 17:00,4238.08,4238.08,4188.79,4210.65,546.7847174
22/11/2021 18:00,4213,4215.07,4137.2,4142.82,2257.492666
22/11/2021 19:00,4140.42,4170,4050.58,4067.33,8546.850569
22/11/2021 20:00,4064.75,4096.19,4053.07,4062.41,3422.570867
22/11/2021 21:00,4060,4086.03,4024.03,4081.43,3086.884937
22/11/2021 22:00,4080.31,4116.32,4066.41,4115.06,2132.676006
22/11/2021 23:00,4114.89,4116.49,4083.79,4094.09,283.6870891
23/11/2021 00:00,4089.12,4140.5,4065.71,4135.23,630.8990605
23/11/2021 01:00,4133.36,4155,4123.18,4141.77,128.865209
23/11/2021 02:00,4141.77,4162.11,4119.27,4161.45,208.5634114
23/11/2021 03:00,4159.87,4193.47,4155.69,4180.83,4285.066589
23/11/2021 04:00,4177.83,4195.45,4170,4172.69,2903.887286
23/11/2021 05:00,4172.41,4174.72,4144.37,4152.5,651.4653139
23/11/2021 06:00,4156.37,4164.29,4127.52,4142.12,278.3158399
23/11/2021 07:00,4147.64,4147.64,4088.41,4107.42,691.6742728
23/11/2021 08:00,4109.18,4139.57,4080.31,4130.68,344.9042743
23/11/2021 09:00,4133.68,4189.82,4063.68,4145.63,4152.66614
23/11/2021 10:00,4147.55,4240.6,4119.69,4157.27,1067.411548
23/11/2021 11:00,4161.3,4177.05,4123.89,4132.41,464.5723304
23/11/2021 12:00,4137.04,4157.88,4130.74,4136.6,348.6492874
23/11/2021 13:00,4136.94,4192.52,4136.94,4175.13,879.5939092
23/11/2021 14:00,4189.18,4322.44,4176.32,4314.82,1257.280382
23/11/2021 15:00,4315.28,4334.53,4269.33,4271.72,2356.611607
23/11/2021 16:00,4272.8,4365.2,4272.4,4355.51,1703.507851
23/11/2021 17:00,4355.98,4359.85,4316.37,4320.93,1146.24955
23/11/2021 18:00,4323.1,4333.59,4291.75,4322.25,800.1093414
23/11/2021 19:00,4322.85,4363.23,4307.34,4358.54,1652.39331
23/11/2021 20:00,4358.55,4390.82,4342.91,4388.66,2599.342658
23/11/2021 21:00,4387.11,4389.36,4342.96,4352.77,593.5123803
23/11/2021 22:00,4352.28,4360.68,4324.72,4334.64,239.8332951
23/11/2021 23:00,4336.68,4357.7,4332.4,4342.53,295.5583994
24/11/2021 00:00,4345.49,4374.89,4345.38,4351.56,582.0973805
24/11/2021 01:00,4351.46,4362.16,4300,4300,330.43905
24/11/2021 02:00,4302.11,4306.24,4234.95,4250,610.7004525
24/11/2021 03:00,4248.19,4257.64,4234.87,4251.39,816.9937593
24/11/2021 04:00,4248.97,4291.99,4245.31,4270.96,435.7665975
24/11/2021 05:00,4268.65,4291.72,4259.56,4270.71,705.5032444
24/11/2021 06:00,4267.22,4277.95,4215.43,4275.06,362.0232486
24/11/2021 07:00,4272.16,4295.67,4266.08,4272.28,222.0488074
24/11/2021 08:00,4272.49,4340.89,4266.31,4304.22,480.8173132
24/11/2021 09:00,4306.85,4307.3,4300.16,4300.16,0.53822236
24/11/2021 10:00,4296.44,4300.56,4256.26,4256.26,288.4637364
24/11/2021 11:00,4263.05,4305.46,4256.82,4295.6,213.7586128
24/11/2021 12:00,4293.87,4312.85,4272.78,4276.75,205.5925095
24/11/2021 13:00,4281.88,4306.18,4210.27,4220.42,600.513947
24/11/2021 14:00,4220.53,4249.03,4166.12,4206.3,2202.905901
24/11/2021 15:00,4200.31,4277.28,4195.88,4255.45,659.7795081
24/11/2021 16:00,4254.12,4265.46,4221.61,4227.98,1047.302112
24/11/2021 17:00,4228.16,4253.71,4209.14,4213.2,322.5656195
24/11/2021 18:00,4213.19,4261.74,4213.19,4232.1,365.0793946
24/11/2021 19:00,4234.22,4240,4203.94,4215,323.5719798
24/11/2021 20:00,4213.24,4276.07,4202.05,4274.65,699.1253892
24/11/2021 21:00,4274.6,4283.49,4255.09,4257.37,611.2047781
24/11/2021 22:00,4260.38,4279.33,4239.82,4247.06,505.3796861
24/11/2021 23:00,4248.57,4276.22,4243.76,4270.67,697.7573063
25/11/2021 00:00,4271.53,4332.88,4251.88,4313.31,712.483745
25/11/2021 01:00,4315.6,4336.06,4310.48,4325.75,235.1398564
25/11/2021 02:00,4326.56,4334.97,4294.6,4311.43,276.1090035
25/11/2021 03:00,4315.1,4326.4,4305.24,4319.36,111.197078
25/11/2021 04:00,4321.42,4322.2,4279.43,4290.67,259.5697704
25/11/2021 05:00,4289.25,4295.27,4268.27,4278.87,116.9289999
25/11/2021 06:00,4278.2,4294.84,4266.37,4277.83,175.3842953
25/11/2021 07:00,4279.71,4313.02,4279.71,4298.33,276.2914064
25/11/2021 08:00,4298.75,4327.1,4287,4287,678.9364175
25/11/2021 09:00,4287.12,4301.38,4275,4297.66,231.8248735
25/11/2021 10:00,4299.53,4383.4,4294.88,4368.46,989.6201173
25/11/2021 11:00,4369.84,4397.29,4360,4389.82,372.9352568
25/11/2021 12:00,4389.82,4454.13,4386.61,4449.46,1158.584452
25/11/2021 13:00,4451.43,4472.99,4437.85,4462.72,685.6288846
25/11/2021 14:00,4463.73,4490,4454.61,4484.41,207.1960239
25/11/2021 15:00,4488.49,4503.85,4461.22,4479.83,793.2461934
25/11/2021 16:00,4480.25,4512.07,4468.6,4492.1,631.6339009
25/11/2021 17:00,4494.55,4533.62,4494.55,4524.3,376.8051238
25/11/2021 18:00,4519.35,4524.45,4495.29,4500.42,228.9856873
25/11/2021 19:00,4504.81,4515,4483.39,4507.64,247.9583283
25/11/2021 20:00,4507.42,4533.06,4504.59,4512.75,444.1246584
25/11/2021 21:00,4510.67,4531.4,4493.5,4502.68,266.3932249
25/11/2021 22:00,4498.49,4520.18,4473.66,4520.18,260.2118807
25/11/2021 23:00,4520.72,4556.42,4512.45,4525.78,396.8758673
26/11/2021 00:00,4528.17,4555.25,4495.48,4503.03,1162.086396
26/11/2021 01:00,4500.69,4524.53,4489.14,4489.14,167.460458
26/11/2021 02:00,4490.52,4504.11,4456.53,4463.63,373.6088306
26/11/2021 03:00,4462.28,4472.9,4427.56,4431.95,399.2175963
26/11/2021 04:00,4437.71,4450.21,4407,4421.66,336.2381873
26/11/2021 05:00,4428.76,4435.59,4398.27,4434.82,287.7411663
26/11/2021 06:00,4434.42,4440.81,4405.18,4421.83,344.6495057
26/11/2021 07:00,4418.69,4436.17,4317.61,4345.49,3718.774778
26/11/2021 08:00,4345.24,4345.24,4000,4100.84,4755.579332
26/11/2021 09:00,4100.72,4133.41,4055.82,4073.31,2992.098984
26/11/2021 10:00,4070.92,4079.45,4042.6,4052.52,1852.983133
26/11/2021 11:00,4051.14,4100.19,3979.8,3984.52,3321.537479
26/11/2021 12:00,3984.76,4054.56,3917,4054.55,3869.487674
26/11/2021 13:00,4049.93,4095.94,4020,4087.35,1343.31343
